VehicleTask,From,Start,End,To,Duration,Distance,Garage,Identifier,Route,Direction,From1,Refer.,Start1,End1,To1,Refer.1,Duration1,Lay,SOC before,Recharge kWh,Distance1,Usage kWh,SOC after,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Prep-out,,,PARX,13801,4:29,4:36,PARX,13801,0.07,,100,,,,100,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Pull-out,,,PARX,13801,4:36,4:45,JON_A,13410,0.09,0.00,100,,6.4,12.8000002,94.644577,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5518,1,JON_A,13410,4:45,4:57,PC_7,13215,0.12,0.00,94.644577,,5.133,10.2659998,90.34935,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5513,1,PC_5,13215,4:57,5:26,HED_E,3127,0.29,0.00,90.34935,,10.088,20.1809998,81.905777,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,HED_E,3127,5:26,5:28,HED_D,3127,0.02,0.06,81.905777,,0.05,0.100000001,81.8639374,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5513,2,HED_D,3127,5:34,5:57,PC_5,13215,0.23,0.00,81.8597488,,9.931,19.8619995,73.5496368,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5514,1,PC_6,13215,5:57,6:23,ÖS_J,7880,0.26,0.00,73.5496368,,8.581,17.1669998,66.3670959,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,ÖS_J,7880,6:23,6:23,7880C,7880,0.00,0.11,66.3670959,,0,0,66.3670959,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Recharge,,,7880C,7880,6:23,6:34,7880C,7880,0.11,,66.3670959,40.3526344,,,83.2503357,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,7880C,7880,6:34,6:34,ÖS_H,7880,0.00,0.00,83.2503357,,0.02,0.0399999991,83.2336044,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5514,2,ÖS_H,7880,6:34,6:57,PC_6,13215,0.23,0.00,83.2336044,,8.205,16.4099998,76.367775,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5518,2,PC_7,13215,6:57,7:14,JON_B,13410,0.17,0.00,76.367775,,5.137,10.2790003,72.0671158,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,JON_B,13410,7:14,7:20,13421,,0.06,0.05,72.0671158,,1.9,3.79999995,70.4772263,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5501,1,13421,,7:25,7:44,6480,,0.19,0.00,70.4737396,,10.809,21.618,61.428936,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Pull-in,,,6480,,7:44,7:56,PARX,13801,0.12,,61.428936,,8.8,17.6000004,54.0652199,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Prep-in,,,PARX,13801,7:56,7:59,PARX,13801,0.03,,54.0652199,,,,54.0652199,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Recharge,,,PARX,13801,7:59,10:00,PARX,13801,2.01,,54.0652199,109.788712,,,100,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Prep-out,,,PARX,13801,10:18,10:25,PARX,13801,0.07,,100,,,,100,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Pull-out,,,PARX,13801,10:25,10:30,PC_7,13215,0.05,0.00,100,,1.4,2.79999995,98.8284988,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5515,1,PC_7,13215,10:30,10:54,GMV_G,7581,0.24,0.00,98.8284988,,9.319,18.6380005,91.0304947,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,GMV_G,7581,10:54,10:56,GMV_H,7581,0.02,0.06,91.0304947,,0.25,0.5,90.8213043,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5515,2,GMV_H,7581,11:02,11:27,PC_7,13215,0.25,0.03,90.8171234,,9.153,18.3059998,83.1580276,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5515,1,PC_7,13215,11:30,11:54,GMV_G,7581,0.24,0.00,83.1559372,,9.319,18.6380005,75.357933,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,GMV_G,7581,11:54,11:56,GMV_H,7581,0.02,0.06,75.357933,,0.25,0.5,75.148735,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5515,2,GMV_H,7581,12:02,12:27,PC_7,13215,0.25,0.10,75.1445541,,9.153,18.3059998,67.485466,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5518,2,PC_7,13215,12:37,12:54,JON_B,13410,0.17,0.19,67.4784927,,5.137,10.2790003,63.1778297,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,JON_B,13410,13:13,13:14,JON_A,13410,0.01,0.00,63.1645813,,0.1,0.200000003,63.0809059,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5519,1,JON_A,13410,13:14,13:27,PC_9,13215,0.13,0.00,63.0809059,,6.171,12.342,57.9171066,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5517,2,PC_3,13215,13:27,13:43,13329,,0.16,0.02,57.9171066,,4.783,9.5710001,53.9126701,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5517,1,13329,,13:45,13:57,PC_3,13215,0.12,0.00,53.9112816,,4.645,9.28999996,50.0244141,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5518,2,PC_7,13215,13:57,14:14,JON_B,13410,0.17,0.00,50.0244141,,5.137,10.2790003,45.7237587,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,JON_B,13410,14:14,14:15,JON_A,13410,0.01,0.10,45.7237587,,0.1,0.200000003,45.6400795,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Recharge,,,JON_A,13410,14:15,14:25,JON_A,13410,0.10,,45.6400795,45.9834518,,,64.8792114,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5518,1,JON_A,13410,14:25,14:37,PC_7,13215,0.12,0.00,64.8792114,,5.133,10.2659998,60.5839958,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5513,1,PC_5,13215,14:37,15:08,HED_E,3127,0.31,0.00,60.5839958,,10.088,20.1809998,52.1404152,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,HED_E,3127,15:08,15:09,3127L,3127,0.01,0.09,52.1404152,,0.031,0.061999999,52.1144753,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Recharge,,,3127L,3127,15:09,15:18,3127L,3127,0.09,,52.1144753,40.0327454,,,68.863884,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,3127L,3127,15:18,15:19,HED_D,3127,0.01,0.00,68.863884,,0.025,0.0500000007,68.8429565,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5513,2,HED_D,3127,15:19,15:47,PC_5,13215,0.28,0.00,68.8429565,,9.931,19.8619995,60.5328445,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5510,2,13215,,15:47,16:04,3127,,0.17,0.14,60.5328445,,10.033,20.066,52.1373825,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5513,2,HED_D,3127,16:18,16:47,PC_5,13215,0.29,0.00,52.1276169,,9.931,19.8619995,43.8175049,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5510,1,PC_10,13215,16:47,17:22,HED_E,3127,0.35,0.00,43.8175049,,11.168,22.3409996,34.4701996,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,HED_E,3127,17:22,17:23,3127L,3127,0.01,0.11,34.4701996,,0.031,0.061999999,34.4442596,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Recharge,,,3127L,3127,17:23,17:34,3127L,3127,0.11,,34.4442596,53.3586731,,,56.7691345,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,3127L,3127,17:34,17:35,HED_D,3127,0.01,0.00,56.7691345,,0.025,0.0500000007,56.7482109,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5510,2,HED_D,3127,17:35,18:07,PC_10,13215,0.32,0.00,56.7482109,,10.664,21.3279991,47.8247337,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5519,2,PC_9,13215,18:07,18:22,JON_B,13410,0.15,0.03,47.8247337,,6.191,12.3870001,42.6421051,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,JON_B,13410,18:25,18:26,JON_A,13410,0.01,0.08,42.6400108,,0.1,0.200000003,42.5563354,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Recharge,,,JON_A,13410,18:26,18:34,JON_A,13410,0.08,,42.5563354,36.9520416,,,58.0167961,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5519,1,JON_A,13410,18:34,18:47,PC_9,13215,0.13,0.03,58.0167961,,6.171,12.342,52.852993,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5515,1,PC_7,13215,18:50,19:13,GMV_G,7581,0.23,0.00,52.8509026,,9.319,18.6380005,45.0529022,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,GMV_G,7581,19:13,19:15,GMV_H,7581,0.02,0.02,45.0529022,,0.25,0.5,44.843708,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5515,2,GMV_H,7581,19:17,19:42,PC_7,13215,0.25,0.00,44.8423119,,9.153,18.3059998,37.1832161,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5519,2,PC_9,13215,19:42,19:57,JON_B,13410,0.15,0.00,37.1832161,,6.191,12.3870001,32.0005875,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,JON_B,13410,19:57,19:58,JON_A,13410,0.01,0.01,32.0005875,,0.1,0.200000003,31.9169102,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5519,1,JON_A,13410,19:59,20:12,PC_9,13215,0.13,0.00,31.9162159,,6.171,12.342,26.7524147,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5510,1,PC_10,13215,20:12,20:46,HED_E,3127,0.34,0.00,26.7524147,,11.168,22.3409996,17.4051075,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,HED_E,3127,20:46,20:47,3127L,3127,0.01,0.25,17.4051075,,0.031,0.061999999,17.3791656,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Recharge,,,3127L,3127,20:47,21:12,3127L,3127,0.25,,17.3791656,126.79377,,,70.4287338,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,3127L,3127,21:12,21:13,HED_D,3127,0.01,0.00,70.4287338,,0.025,0.0500000007,70.407814,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5510,2,HED_D,3127,21:13,21:42,PC_10,13215,0.29,0.03,70.407814,,10.664,21.3279991,61.4843369,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5515,1,PC_7,13215,21:45,22:06,GMV_G,7581,0.21,0.00,61.4822388,,9.319,18.6380005,53.6842422,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,GMV_G,7581,22:06,22:08,GMV_H,7581,0.02,0.10,53.6842422,,0.25,0.5,53.4750443,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5515,2,GMV_H,7581,22:18,22:42,PC_7,13215,0.24,0.03,53.4680672,,9.153,18.3059998,45.8089752,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5515,1,PC_7,13215,22:45,23:06,GMV_G,7581,0.21,0.00,45.8068848,,9.319,18.6380005,38.0088844,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Deadhead,,,GMV_G,7581,23:06,23:08,GMV_H,7581,0.02,0.10,38.0088844,,0.25,0.5,37.7996902,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5515,2,GMV_H,7581,23:18,23:42,PC_7,13215,0.24,0.03,37.7927132,,9.153,18.3059998,30.1336193,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Regular,5515,1,PC_7,13215,23:45,24:06,GMV_G,7581,0.21,0.00,30.1315269,,9.319,18.6380005,22.3335285,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Pull-in,,,GMV_G,7581,24:06,24:17,PARX,13801,0.11,,22.3335285,,7.7,15.3999996,15.8902826,
13301,PARX,4:29,24:20,PARX,19.33,327.028,PARX,Prep-in,,,PARX,13801,24:17,24:20,PARX,13801,0.03,,15.8902826,,,,15.8902826,